Season,Site,Transect,Transect#,LAT,LONG,Dist_coast_km,Water_Depth_cm,Soil_Depth_cm,Soil_Type,Mat_Type,SW_Cond_mS.cm,STDEV_SW_Cond_mS.cm,PW_Cond_mS.cm,STDEV_PW_Cond_mS.cm,Peri_Biovol_mL.m2,STDEV_Peri_Biovol_mL.m2,DryWt_g.m2,AFDW_g.m2,AshWt_g.m2,STDEV_DryWt_g.m2,STDEV_AFDW_g.m2,STDEV_AshWt_g.m2,Prcnt_Organic,Prcnt_Mineral,Chla_ug.g.drywt,STDEV_Chla_ug.g.drywt,TP_mcrg.g,STDEV_TP_mcrg.g
Dry2014,MPR_0,MPR,1,25.33578,-80.80472,17.01,0,29,2,1,-9999,-9999,-9999,-9999,10578.6,2082.0,3119.9,977.9,2142.0,1310.0,331.6,988.8,31.3,68.7,34.9,6.9,41.7,6.03
Dry2014,MPR_1,MPR,1,25.32958,-80.79942,16.39,0.0,16,2,1,-9999,-9999,-9999,-9999,11226.3,1530.4,4402.6,1038.3,3364.3,708.4,196.7,529.4,23.6,76.4,50.7,11.6,37.3,4.38
Dry2014,MPR_2,MPR,1,25.32175,-80.79778,15.53,0.0,22,2,1,-9999,-9999,-9999,-9999,9067.4,2823.1,3100.2,957.6,2142.5,1340.5,358.4,996.4,30.9,69.1,57.9,5.7,46.9,10.22
Dry2014,MPR_3,MPR,1,25.31433,-80.79786,14.71,0.0,24,2,1,-9999,-9999,-9999,-9999,9196.9,2179.1,3327.4,938.0,2389.4,1249.6,332.2,917.5,28.2,71.8,102.5,31.3,74.4,20.92
Dry2014,MPR_4,MPR,1,25.30692,-80.79786,13.90,0.0,26,2,1,-9999,-9999,-9999,-9999,13428.3,5372.7,5754.5,1647.7,4106.9,2450.7,630.7,1823.5,28.6,71.4,109.6,34.8,46.5,10.69
Dry2014,MPR_5,MPR,1,25.29978,-80.79794,13.16,0.0,6,2,1,-9999,-9999,-9999,-9999,9456.0,3901.1,4392.8,1196.6,3196.2,1939.3,608.3,1331.7,27.2,72.8,88.1,53.0,67.3,27.10
Dry2014,MPR_6,MPR,1,25.29325,-80.79767,12.44,0.0,-9999,2,1,-9999,-9999,0.516,0.040,6865.3,1352.4,1157.3,349.2,808.1,245.1,55.2,189.9,30.2,69.8,199.1,138.4,92.2,18.34
Dry2014,MPR_7,MPR,1,25.28583,-80.79786,11.56,0.0,55,4,3,-9999,-9999,1.506,0.058,4857.5,971.5,471.9,178.6,293.4,138.3,53.3,85.1,37.8,62.2,285.5,56.2,146.1,25.93
Dry2014,MPR_8,MPR,1,25.27864,-80.79792,10.77,0.0,25,2,3,-9999,-9999,1.887,0.066,8419.7,1943.0,588.9,287.4,301.6,99.6,80.0,27.5,48.8,51.2,345.5,41.2,154.6,13.85
Dry2014,MPR_9,MPR,1,25.26406,-80.79947,9.15,0.0,78,3,0,-9999,-9999,0.643,0.027,-9999,-9999,53.5,45.6,7.9,19.4,16.9,2.5,85.2,14.8,506.1,186.1,392.4,67.64
Dry2014,MPR_10,MPR,1,25.25397,-80.79767,8.09,0.0,15,1,6,-9999,-9999,-9999,-9999,-9999,-9999,101.3,42.0,59.2,6.4,1.9,4.8,41.5,58.5,330.0,30.6,456.0,42.10
Dry2014,MPR_11,MPR,1,25.24019,-80.80981,6.37,0.0,101,3,6,-9999,-9999,4.077,0.319,-9999,-9999,27.1,22.4,4.7,3.7,2.9,0.9,82.6,17.4,304.7,95.9,300.4,9.12
Dry2014,MPR_12,MPR,1,25.23058,-80.82569,7.75,0.0,101,3,6,-9999,-9999,7.327,1.518,-9999,-9999,38.5,30.0,8.4,15.9,12.6,3.4,78.1,21.9,525.9,165.7,298.7,56.56
Dry2014,MPR_13,MPR,1,25.22369,-80.83714,5.42,0.0,101,3,6,-9999,-9999,6.210,0.784,-9999,-9999,44.2,36.0,8.2,6.1,5.0,1.1,81.4,18.6,592.3,138.1,371.3,54.56
Dry2014,SAL_1N,SAL1,2,25.31520,-80.74263,16.70,0.0,20,2,1,-9999,-9999,1.654,0.163,5569.9,342.7,1723.7,454.5,1269.1,183.2,44.2,143.5,26.4,73.6,101.9,54.1,51.0,4.50
Dry2014,SAL_1C,SAL1,2,25.27325,-80.74483,12.01,0.0,26,2,1,-9999,-9999,0.918,0.086,6390.3,3090.8,1156.2,331.5,824.7,526.2,130.8,396.6,28.7,71.3,99.9,9.8,40.8,8.05
Dry2014,SAL_1S,SAL1,2,25.26272,-80.74712,10.84,16.0,41,2,3,0.579,0.051,0.890,0.235,5397.2,4312.4,863.0,238.3,624.7,467.5,160.4,307.3,27.6,72.4,133.5,42.5,48.8,16.06
Dry2014,SAL_1SS1,SAL1,2,25.23978,-80.75078,9.77,0.0,67,3,6,-9999,-9999,0.977,0.172,2633.9,713.4,157.4,125.1,32.3,101.0,86.8,14.2,79.5,20.5,529.4,221.6,176.4,52.47
Dry2014,SAL_1SS2,SAL1,2,25.22992,-80.75522,7.76,0.0,101,3,0,-9999,-9999,9.330,2.077,-9999,-9999,27.5,22.2,5.3,13.4,10.5,2.9,80.9,19.1,265.3,140.3,215.5,16.23
Dry2014,SAL_2N,SAL2,4,25.26297,-80.61197,6.94,1.2,56,2,1,7.31,0.195,7.867,0.792,5073.4,674.1,631.4,216.1,415.3,280.5,72.6,209.8,34.2,65.8,120.0,52.4,47.8,11.64
Dry2014,SAL_2C,SAL2,4,25.25258,-80.60853,5.48,10.0,85,2,1,14.2,0.132,8.570,3.547,8009.5,356.7,906.4,222.1,684.3,45.3,15.1,30.5,24.5,75.5,188.3,81.5,37.4,7.36
Dry2014,SAL_2S,SAL2,4,25.24100,-80.60407,4.40,10.0,91,2,1,14.7,0.279,12.750,1.752,9477.5,208.2,1200.7,225.2,975.5,49.6,3.7,51.2,18.8,81.2,223.1,76.4,51.9,4.50
Dry2014,SAL_2SS1,SAL2,4,25.23093,-80.60322,3.15,14.0,101,2,1&3,27.1,1.601,24.933,1.380,4641.6,815.0,543.9,125.4,418.5,115.2,26.6,88.6,23.1,76.9,248.6,35.1,81.8,20.14
Dry2014,SAL_3N,SAL3,5,25.27775,-80.55568,7.22,0.0,67,2,1,-9999,-9999,5.943,0.535,7772.0,2243.6,1013.6,351.9,661.6,94.3,26.8,104.9,34.7,65.3,76.8,31.4,50.4,7.77
Dry2014,SAL_3C,SAL3,5,25.26678,-80.55593,6.01,0.0,80,2,2,-9999,-9999,21.300,0.954,7772.0,2590.7,1630.0,337.5,1292.5,540.9,113.0,428.2,20.7,79.3,70.7,44.2,32.8,6.46
Dry2014,SAL_3S,SAL3,5,25.25547,-80.55568,4.76,14.0,86,2,2,36.3,1.518,23.260,5.961,-9999,-9999,109.0,13.8,95.2,3.3,1.3,2.4,12.6,87.4,104.4,40.5,45.7,9.51
Dry2014,SAL_4N,SAL4,6,25.27328,-80.47347,6.81,0.0,101,2,1,-9999,-9999,17.120,12.810,14680.5,2991.5,3708.6,918.0,2790.6,591.7,131.9,459.8,24.8,75.2,57.3,6.2,37.9,8.97
Dry2014,SAL_4C,SAL4,6,25.25272,-80.47008,4.68,1.0,101,2,2,55.2,0.404,53.033,1.079,3886.0,0.0,733.5,120.8,612.7,92.7,17.3,77.2,16.5,83.5,63.1,3.2,59.5,6.00
Dry2014,SAL_4S,SAL4,6,25.24612,-80.46732,2.91,14.0,101,2,2,55.2,0.173,48.733,1.858,1554.4,0.0,279.2,37.4,241.9,111.9,3.4,110.6,13.4,86.6,20.2,19.8,44.5,5.67
Dry2014,SAL_5W,SAL5,7,25.33012,-80.42462,5.00,0.0,35,2,1,-9999,-9999,26.633,0.153,6908.5,747.9,3983.5,935.6,3047.9,679.2,205.1,480.8,23.5,76.5,46.5,4.3,21.8,5.04
Dry2014,SAL_5N,SAL5,7,25.31678,-80.40525,2.90,13.0,101,2,3,47.1,0.306,43.067,4.366,1943.0,647.7,250.0,61.0,189.0,58.4,19.1,39.9,24.4,75.6,135.5,54.5,86.5,9.84
Dry2014,SAL_5C,SAL5,7,25.31142,-80.40125,2.28,5.0,101,2,2,58.0,0.643,54.733,2.155,1640.8,37.4,319.9,52.1,267.8,81.4,13.7,67.8,16.3,83.7,45.5,5.7,54.3,6.75
Dry2014,SAL_5S,SAL5,7,25.30622,-80.40253,1.81,7.0,101,2,2,54.05,5.020,59.333,0.764,1554.4,0.0,417.6,67.3,350.3,26.9,19.8,32.2,16.1,83.9,20.8,3.4,31.3,3.56
Dry2014,SAL_6N,SAL6,3,25.25188,-80.66793,6.79,0.0,64,2,3,-9999,-9999,1.684,0.309,14248.7,1295.3,5044.7,1332.6,3712.1,685.2,54.8,636.4,26.4,73.6,30.2,8.3,30.7,3.82
Dry2014,SAL_6S,SAL6,3,25.23118,-80.66447,4.50,9.0,70,2,3,13.7,0.200,11.710,0.246,3670.1,373.9,252.6,85.7,166.9,24.4,13.6,20.1,33.9,66.1,123.2,30.7,70.9,19.10
Dry2014,SAL_6SS1,SAL6,3,25.21875,-80.66362,3.18,14.0,100,2,3,16.2,4.718,17.093,0.072,5397.2,2274.5,601.7,153.3,448.4,383.8,91.6,292.8,25.5,74.5,122.6,34.1,73.6,3.65
Dry2014,SAL_6SS2,SAL6,3,25.20812,-80.66068,1.98,17.0,101,3,4,7.7,0.359,7.067,0.414,3670.1,1348.2,166.3,138.1,28.2,60.4,51.9,8.5,83.0,17.0,291.3,73.1,246.0,40.50
Dry2015,MPR_0,MPR,1,25.335778,-80.804722,17.01,0.0,16,2,1,-9999,-9999,-9999,-9999,4533.7,1121.8,3871.6,930.5,2941.1,929.9,198.7,762.6,24.0,76.0,63.7,9.3,61.7,25.8
Dry2015,MPR_1,MPR,1,25.329583,-80.799417,16.39,0.0,16,2,1,-9999,-9999,-9999,-9999,9715.0,1121.8,7540.1,1551.2,5988.8,794.4,81.6,722.4,20.6,79.4,53.3,10.4,48.7,10.0
Dry2015,MPR_2,MPR,1,25.321750,-80.797778,15.53,0.0,13,2,1,-9999,-9999,-9999,-9999,4533.7,2335.2,3525.2,1010.5,2514.7,1936.8,469.5,1467.5,28.7,71.3,41.8,18.0,60.1,25.4
Dry2015,MPR_3,MPR,1,25.314333,-80.797861,14.71,0.0,12,2,1,-9999,-9999,-9999,-9999,9067.4,2243.6,9101.6,2161.6,6940.0,1702.2,400.6,1324.1,23.7,76.3,47.1,7.5,123.3,35.4
Dry2015,MPR_4,MPR,1,25.306917,-80.797861,13.90,0.0,4,2,1,-9999,-9999,-9999,-9999,6044.9,1978.7,5923.0,1428.4,4494.6,2011.1,605.3,1407.1,24.1,75.9,39.2,12.5,45.7,12.4
Dry2015,MPR_5,MPR,1,25.299778,-80.797944,13.16,0.0,9,2,1,-9999,-9999,-9999,-9999,9067.4,2243.6,6068.7,1653.1,4415.6,3320.5,997.0,2333.3,27.2,72.8,81.8,22.3,92.2,24.0
Dry2015,MPR_6,MPR,1,25.293250,-80.797667,12.44,0.0,21,2,1,-9999,-9999,-9999,-9999,2590.7,0.0,777.0,255.9,521.0,98.3,45.3,60.7,32.9,67.1,227.3,58.6,110.0,26.0
Dry2015,MPR_7,MPR,1,25.285833,-80.797861,11.56,0.0,37,2,1,-9999,-9999,2.746,0.086,9283.2,2617.5,900.8,335.5,565.3,180.6,63.2,121.3,37.2,62.8,259.5,41.6,137.8,24.8
Dry2015,MPR_8,MPR,1,25.278639,-80.797917,10.77,0.0,39,4,1,-9999,-9999,2.768,0.230,10837.7,2718.2,572.5,256.5,316.0,136.0,54.3,94.1,44.8,55.2,356.0,75.5,232.7,48.4
Dry2015,MPR_9,MPR,1,25.264056,-80.799472,9.15,0.0,72,3,6,-9999,-9999,3.288,0.059,1295.3,0.0,33.4,27.7,5.8,19.3,15.9,3.4,82.7,17.3,920.7,237.1,608.0,37.7
Dry2015,MPR_10,MPR,1,25.253972,-80.797667,8.09,12.0,0.5,1,4,5.893,0.015,-9999,-9999,1943.0,388.6,62.3,19.4,42.9,27.8,9.7,19.3,31.1,68.9,287.3,57.1,809.6,130.0
Dry2015,MPR_11,MPR,1,25.240194,-80.809806,6.37,0.0,101,3,6,-9999,-9999,-9999,-9999,1295.3,0.0,115.0,83.6,31.4,25.2,20.7,4.7,72.7,27.3,263.5,35.9,474.9,105.2
Dry2015,MPR_12,MPR,1,25.230583,-80.825694,7.75,0.5,101,3,6,13.697,1.114,12.140,0.255,1295.3,0.0,57.1,36.5,20.6,16.9,15.4,1.8,63.9,36.1,695.1,172.2,523.2,56.8
Dry2015,MPR_13,MPR,1,25.223694,-80.837139,5.42,0.0,101,3,6,-9999,-9999,30.300,3.835,1295.3,0.0,54.6,35.6,19.0,64.4,41.6,22.8,65.1,34.9,491.6,341.5,945.4,260.1
Dry2015,SAL_1N,SAL1,2,25.315200,-80.742633,16.70,0.0,17,2,1,-9999,-9999,2.063,0.297,8894.6,1277.9,3968.1,1069.5,2898.6,1325.7,360.5,968.9,27.0,73.0,87.5,7.9,91.7,17.1
