Sampling_Event,Date,Mesocosm,Treatment,Species,Abundance
T1,2015-05-22,1,F,Achnanthes.cf..karayevia..amoena,0.000
T1,2015-05-22,17,F,Achnanthes.cf..karayevia..amoena,0.000
T1,2015-05-22,18,F,Achnanthes.cf..karayevia..amoena,0.007
T1,2015-05-22,4,FP,Achnanthes.cf..karayevia..amoena,0.000
T1,2015-05-22,8,FP,Achnanthes.cf..karayevia..amoena,0.000
T1,2015-05-22,19,FP,Achnanthes.cf..karayevia..amoena,0.000
T1,2015-05-22,9,S,Achnanthes.cf..karayevia..amoena,0.000
T1,2015-05-22,14,S,Achnanthes.cf..karayevia..amoena,0.000
T1,2015-05-22,21,S,Achnanthes.cf..karayevia..amoena,0.000
T1,2015-05-22,12,SP,Achnanthes.cf..karayevia..amoena,0.000
T1,2015-05-22,16,SP,Achnanthes.cf..karayevia..amoena,0.000
T1,2015-05-22,24,SP,Achnanthes.cf..karayevia..amoena,0.000
T2,2015-08-18,5,F,Achnanthes.cf..karayevia..amoena,0.000
T2,2015-08-18,6,F,Achnanthes.cf..karayevia..amoena,0.000
T2,2015-08-18,18,F,Achnanthes.cf..karayevia..amoena,0.000
T2,2015-08-18,4,FP,Achnanthes.cf..karayevia..amoena,0.000
T2,2015-08-18,7,FP,Achnanthes.cf..karayevia..amoena,0.000
T2,2015-08-18,19,FP,Achnanthes.cf..karayevia..amoena,0.000
T2,2015-08-18,9,S,Achnanthes.cf..karayevia..amoena,0.000
T2,2015-08-18,10,S,Achnanthes.cf..karayevia..amoena,0.000
T2,2015-08-18,13,S,Achnanthes.cf..karayevia..amoena,0.000
T2,2015-08-18,12,SP,Achnanthes.cf..karayevia..amoena,0.000
T2,2015-08-18,15,SP,Achnanthes.cf..karayevia..amoena,0.000
T2,2015-08-18,24,SP,Achnanthes.cf..karayevia..amoena,0.000
T3,2016-02-19,1,F,Achnanthes.cf..karayevia..amoena,0.000
T3,2016-02-19,6,F,Achnanthes.cf..karayevia..amoena,0.000
