Sample,Achnanthes minutissima,Amphora montana ,Amphora veneta,Amphora coffeaeformis aponina ,Amphora punctata ,Amphora sulcata,Amphora acutiuscula,Brachysira microcephela,Caloneis bacillum,Caponea caribbea,Cyclotella iris,Diploneis oblongella,Diploneis parma,Encyonema evergladianum,Encyonema mesianum,Encyonema silesiacum elegans,Encyonopsis microcephela,Entomoneis cf. paludosa,Envekadea metezeltinii,Envekadea vanlandinghamii,Eunotia flexuosa,Eunotia naegeli,Fragilaria ftsp16,Fragilaria minuscula,Fragilaria nanana,Fragilaria synegrotesca,Gomphonema coronatum,Gomphonema intricatum vibrio,Kobayasiella parasubtilissima,Kobayasiella subtilissima,Mastoglogia pseduosmithii,Mastogloia braunii,Mastogloia calcarea,Mastogloia lanceolata,Navicula bulnheimii,Navicula cryptotenella,Navicula radiosa,Navicula salinicola,Navicula salinarum,Navicula vmsp2,Nitzschia acicularis,Nitzschia amphibia amphibia,Nitzschia ftsp16,Nitzschia lacunarum,Nitzschia nana,Nitzschia palea debilis,Nitzschia serpentiraphe,Nitzschia vmsp4 (curved),Nitzschia microcephela,Planothidium rostratum,Pleurosigma salinarum,Rhopalodia pacifica,Seminavis pusilla,Stauroneis phoenicentron,Stephanocyclus menghiniana,Synedra filiformis exilis,Ulnaria delicatissima,Unknown vmsp2 
M1FW6C,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.223,0.000,0.000,0.000,0.000,0.000,0.011,0.038,0.015,0.352,0.000,0.000,0.000,0.008,0.045,0.000,0.000,0.000,0.042,0.000,0.098,0.000,0.008,0.000,0.000,0.008,0.000,0.000,0.121,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.004,0.000,0.002,0.000
M1FW8C,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.196,0.000,0.000,0.000,0.000,0.000,0.047,0.094,0.012,0.337,0.000,0.000,0.000,0.004,0.016,0.000,0.000,0.000,0.020,0.000,0.071,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.184,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.008,0.000
M1FW10C,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.197,0.000,0.000,0.000,0.000,0.000,0.047,0.071,0.012,0.458,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.024,0.000,0.043,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000
M1FW12S,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.110,0.000,0.000,0.000,0.002,0.004,0.075,0.134,0.051,0.279,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.004,0.000,0.047,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.275,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000
M1FW14S,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.103,0.000,0.000,0.000,0.000,0.000,0.122,0.083,0.016,0.533,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.006,0.000,0.016,0.000,0.000,0.000,0.000,0.000,0.110,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.002,0.000
M1FW16S,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.048,0.000,0.000,0.000,0.000,0.000,0.060,0.096,0.008,0.723,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.036,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.004,0.000
M1BW5C,0.000,0.000,0.000,0.023,0.019,0.002,0.012,0.132,0.000,0.008,0.000,0.035,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.027,0.000,0.000,0.043,0.008,0.000,0.074,0.000,0.023,0.000,0.000,0.000,0.002,0.156,0.101,0.000,0.000,0.000,0.016,0.000,0.000,0.000,0.000,0.062,0.000,0.008,0.101,0.000,0.000,0.000,0.000,0.000,0.000,0.121,0.000,0.008,0.002,0.000,0.000
M1BW7C,0.000,0.000,0.002,0.062,0.004,0.000,0.004,0.018,0.000,0.000,0.000,0.033,0.004,0.000,0.000,0.007,0.015,0.000,0.007,0.004,0.000,0.000,0.070,0.004,0.000,0.051,0.000,0.000,0.000,0.000,0.000,0.004,0.147,0.202,0.000,0.000,0.000,0.026,0.000,0.000,0.000,0.000,0.187,0.000,0.004,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.110,0.000,0.004,0.004,0.000,0.018
M1BW9C,0.000,0.000,0.000,0.188,0.039,0.004,0.000,0.047,0.000,0.000,0.000,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.047,0.027,0.000,0.149,0.000,0.006,0.000,0.000,0.004,0.000,0.164,0.176,0.000,0.000,0.000,0.027,0.000,0.000,0.004,0.000,0.031,0.000,0.012,0.027,0.000,0.000,0.004,0.000,0.000,0.016,0.004,0.000,0.002,0.008,0.000,0.000
M1BW11S,0.000,0.000,0.000,0.100,0.071,0.000,0.004,0.046,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.021,0.002,0.000,0.025,0.000,0.000,0.088,0.000,0.050,0.000,0.000,0.000,0.008,0.243,0.046,0.000,0.000,0.000,0.021,0.000,0.000,0.008,0.000,0.000,0.000,0.033,0.017,0.000,0.013,0.000,0.000,0.004,0.130,0.033,0.000,0.017,0.004,0.000,0.000
