Sample,Date,Site,Chamber,Treatment,TrialID,Achnanthes minutissima,Amphora montana ,Amphora veneta,Amphora coffeaeformis aponina ,Amphora punctata ,Amphora sulcata,Amphora acutiuscula,Brachysira microcephela,Caloneis bacillum,Caponea caribbea,Cyclotella iris,Diploneis oblongella,Diploneis parma,Encyonema evergladianum,Encyonema mesianum,Encyonema silesiacum elegans,Encyonopsis microcephela,Entomoneis cf. paludosa,Envekadea metezeltinii,Envekadea vanlandinghamii,Eunotia flexuosa,Eunotia naegeli,Fragilaria ftsp16,Fragilaria minuscula,Fragilaria nanana,Fragilaria synegrotesca,Gomphonema coronatum,Gomphonema intricatum vibrio,Kobayasiella parasubtilissima,Kobayasiella subtilissima,Mastoglogia pseduosmithii,Mastogloia braunii,Mastogloia calcarea,Mastogloia lanceolata,Navicula bulnheimii,Navicula cryptotenella,Navicula radiosa,Navicula salinicola,Navicula salinarum,Navicula vmsp2,Nitzschia acicularis,Nitzschia amphibia amphibia,Nitzschia ftsp16,Nitzschia lacunarum,Nitzschia nana,Nitzschia palea debilis,Nitzschia serpentiraphe,Nitzschia vmsp4 (curved),Nitzschia microcephela,Planothidium rostratum,Pleurosigma salinarum,Rhopalodia pacifica,Seminavis pusilla,Stauroneis phoenicentron,Stephanocyclus menghiniana,Synedra filiformis exilis,Ulnaria delicatissima,Unknown vmsp2 
T1,Oct-14,FW,6,C,M1FW6C,0,0,0,0,0,0,0,0.223,0,0,0,0,0,0.011,0.038,0.015,0.352,0,0,0,0.008,0.045,0,0,0,0.042,0,0.098,0,0.008,0,0,0.008,0,0,0.121,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0.004,0.004,0,0.002,0
T1,Oct-14,FW,8,C,M1FW8C,0,0,0,0,0,0,0,0.196,0,0,0,0,0,0.047,0.094,0.012,0.337,0,0,0,0.004,0.016,0,0,0,0.02,0,0.071,0,0.004,0,0,0,0,0,0.184,0,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0.008,0
T1,Oct-14,FW,10,C,M1FW10C,0,0,0,0,0,0,0,0.197,0,0,0,0,0,0.047,0.071,0.012,0.458,0,0,0,0.004,0,0,0,0,0.024,0,0.043,0,0.004,0,0,0,0,0,0.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002,0
T1,Oct-14,FW,12,S,M1FW12S,0,0,0,0,0,0,0,0.11,0,0,0,0.002,0.004,0.075,0.134,0.051,0.279,0,0,0,0.004,0,0,0,0,0.004,0,0.047,0,0,0,0,0,0,0,0.275,0,0,0,0,0,0.002,0,0,0,0.012,0,0,0,0,0,0,0,0,0.002,0,0,0
T1,Oct-14,FW,14,S,M1FW14S,0,0,0,0,0,0,0,0.103,0,0,0,0,0,0.122,0.083,0.016,0.533,0,0,0,0.002,0,0,0,0,0,0,0.006,0,0.016,0,0,0,0,0,0.11,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0.004,0,0.002,0
T1,Oct-14,FW,16,S,M1FW16S,0,0,0,0,0,0,0,0.048,0,0,0,0,0,0.06,0.096,0.008,0.723,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0.036,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0,0,0,0,0,0,0,0.004,0
T1,Oct-14,OH,5,C,M1BW5C,0,0,0,0.023,0.019,0.002,0.012,0.132,0,0.008,0,0.035,0.002,0,0,0,0,0,0,0.027,0,0,0.043,0.008,0,0.074,0,0.023,0,0,0,0.002,0.156,0.101,0,0,0,0.016,0,0,0,0,0.062,0,0.008,0.101,0,0,0,0,0,0,0.121,0,0.008,0.002,0,0
T1,Oct-14,OH,7,C,M1BW7C,0,0,0.002,0.062,0.004,0,0.004,0.018,0,0,0,0.033,0.004,0,0,0.007,0.015,0,0.007,0.004,0,0,0.07,0.004,0,0.051,0,0,0,0,0,0.004,0.147,0.202,0,0,0,0.026,0,0,0,0,0.187,0,0.004,0.004,0,0,0,0,0,0,0.11,0,0.004,0.004,0,0.018
T1,Oct-14,OH,9,C,M1BW9C,0,0,0,0.188,0.039,0.004,0,0.047,0,0,0,0.012,0,0,0,0,0,0,0,0.002,0,0,0.047,0.027,0,0.149,0,0.006,0,0,0.004,0,0.164,0.176,0,0,0,0.027,0,0,0.004,0,0.031,0,0.012,0.027,0,0,0.004,0,0,0.016,0.004,0,0.002,0.008,0,0
T1,Oct-14,OH,11,S,M1BW11S,0,0,0,0.1,0.071,0,0.004,0.046,0.004,0,0,0,0,0,0,0,0,0,0,0.021,0.002,0,0.025,0,0,0.088,0,0.05,0,0,0,0.008,0.243,0.046,0,0,0,0.021,0,0,0.008,0,0,0,0.033,0.017,0,0.013,0,0,0.004,0.13,0.033,0,0.017,0.004,0,0
