Season,Site,Transect,Transect #,Achnanthes (Karayevia) amoena,Amphora acutiuscula (vmsp3),Amphora coffeaeformis aponina,Amphora (Halamphora) punctata,Amphora sulcata,Amphora veneta,Brachysira aponina,Brachysira cf. aponina,Brachysira microcephela,Caponea caribbea,Cyclotella distinguenda,Diploneis oblongella,Diploneis parma,Diploneis vmsp1,Encyonema evergladianum,Encyonema mesianum,Encyonema silesiacum elegans,Encyonema sjsp03,Encyonopsis microcephela,Envekadea metezeltinii,Envekadea vanlandinghamii,Fragilaria ftsp16,Fragilaria minuscula,Fragilaria nanana,Fragilaria synegrotesca,Gomphonema intricatum vibrio,Kobayasiella parasubtilissima,Kobayasiella subtilissima,Mastogloia asperuloides,Mastogloia braunii,Mastogloia calcarea,Mastogloia lanceolata,Mastogloia pseduosmithii,Navicula bulnheimii,Navicula cryptotenella (vmsp7),Navicula duerrenbergiana,Navicula lenzii,Navicula radiosa,Navicula salinarum,Navicula salinicola,Nitzschia acicularis,Nitzschia ftsp16,Nitzschia microcephela,Nitzscia microcephela cf (wider),Nitzschia nana,Nitzschia palea debilis,Nitzschia cf scalaris,Nitzschia serpentiraphe,Parlibellus pandelriformis,Pinnularia major,Pleurosigma salinarum,Pleurosira vmsp1,Sellaphora laevissima,Sellaphora stoermii,Seminavis eulenstenii,Seminavis pusilla,Seminavis witkowskii,Stauroneis phoenicentron,Stephanocyclus (cyclotella) meneghiniana,Synedra filiformis exilis
Dry2014,MPR_0,MPR,1,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999,-99999
Dry2014,MPR_1,MPR,1,0,0,0,0,0,0,0,0,0.173,0,0.008,0,0.016,0,0.452,0.024,0,0,0.012,0,0,0,0,0,0,0,0,0.004,0,0,0.138,0,0,0,0.024,0,0,0,0,0,0,0,0,0,0,0.083,0,0.028,0,0,0,0,0.035,0,0,0,0,0,0,0
Dry2014,MPR_2,MPR,1,0,0,0,0,0,0,0,0,0.04,0,0,0.004,0.004,0,0.726,0.044,0,0,0.008,0,0,0,0,0,0.008,0,0.002,0.012,0,0,0.02,0,0,0,0.016,0,0,0.004,0,0,0,0,0,0,0,0.083,0,0,0,0,0,0,0.012,0,0,0,0,0,0.016,0
Dry2014,MPR_3,MPR,1,0,0,0,0,0,0,0,0,0.016,0,0,0.004,0.012,0,0.648,0.094,0,0,0.008,0,0,0,0,0,0.004,0.008,0.002,0,0,0,0.031,0,0,0,0.02,0,0,0.004,0,0,0,0,0,0,0,0.106,0,0,0,0,0,0,0.016,0.004,0,0,0,0,0.004,0
Dry2014,MPR_4,MPR,1,0,0,0,0,0,0,0,0,0.05,0,0,0.008,0.008,0,0.567,0.137,0,0,0.008,0,0,0.004,0,0,0.012,0.021,0,0,0,0,0.07,0,0,0,0.008,0,0,0,0,0,0,0,0,0,0,0.083,0,0,0,0,0,0,0,0,0,0,0,0,0.017,0
Dry2014,MPR_5,MPR,1,0,0,0,0,0,0,0,0,0,0,0,0,0.011,0,0.623,0.008,0.004,0,0.056,0,0,0,0,0,0.008,0,0.056,0,0,0,0.002,0,0,0,0.083,0,0,0.023,0,0,0,0,0,0,0,0.105,0,0,0,0,0,0,0.011,0,0,0,0,0.002,0,0
Dry2014,MPR_6,MPR,1,0,0,0,0,0,0,0,0,0.039,0.004,0,0.008,0.004,0,0.692,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0,0.031,0,0,0,0.012,0,0,0.039,0,0,0,0,0,0,0,0.13,0,0.024,0,0,0,0,0.004,0,0,0,0,0,0,0
Dry2014,MPR_7,MPR,1,0,0,0,0,0,0,0,0,0.052,0,0,0,0.002,0,0.563,0,0,0.025,0.002,0,0,0,0,0.002,0.017,0.004,0.05,0,0,0,0.145,0,0,0,0,0,0,0.008,0,0,0,0.017,0,0,0,0.108,0,0.004,0,0,0,0,0,0,0,0,0,0,0,0
Dry2014,MPR_8,MPR,1,0,0,0,0,0,0,0,0,0.076,0,0,0.008,0.004,0,0.718,0.05,0,0.004,0.002,0,0,0,0,0,0,0,0.008,0,0,0,0.073,0,0,0,0,0,0,0,0,0,0,0.004,0,0,0,0.038,0,0.015,0,0,0,0,0,0,0,0,0,0,0,0
Dry2014,MPR_9,MPR,1,0,0,0,0,0,0,0,0,0.008,0,0,0,0,0,0.445,0.072,0.012,0,0.024,0,0,0,0,0,0.064,0.008,0,0.024,0,0,0.215,0,0,0,0.012,0,0,0.008,0,0,0,0.004,0,0,0,0.091,0,0,0,0,0,0,0.004,0,0,0,0,0,0.004,0
